plan de contrôle;domaine;thème;type d'action;sous type d'action
Eau et Nature;Sujets transversaux;Autorisations environnementales;Contrôle des autorisations environnementales délivrées (déroulement des travaux, prescriptions de fonctionnement, compensations... (SNC 1.1));
Eau et Nature;Gestion qualitative de la ressource en eau;Lutter contre les pollutions urbaines;Préserver la qualité des milieux aquatiques et la santé grâce à des systèmes d'assainissement conformes (SNC 2.1);Contrôle administratif des systèmes d'assainissement ciblés par l'action 2.1 de la SNC
Eau et Nature;Gestion qualitative de la ressource en eau;Lutter contre les pollutions urbaines;Préserver la qualité des milieux aquatiques et la santé grâce à des systèmes d'assainissement conformes (SNC 2.1);Autres actions sur les systèmes d'assainissement
Eau et Nature;Gestion qualitative de la ressource en eau;Lutter contre les pollutions urbaines;Éviter la pollution des milieux par des épandages de boues d'épuration mal maîtrisés ou sauvages (SNC 2.2);Contrôle administratif des plans d'épandage ciblés par l'action 2.2 de la SNC
Eau et Nature;Gestion qualitative de la ressource en eau;Lutter contre les pollutions urbaines;Éviter la pollution des milieux par des épandages de boues d'épuration mal maîtrisés ou sauvages (SNC 2.2);Autres actions sur les plans d'épandage
Eau et Nature;Gestion qualitative de la ressource en eau;Pollutions diffuses;Limiter la présence de nitrates d'origine agricole dans les milieux aquatiques afin de lutter contre l'eutrophisation des milieux et protéger la ressource en eau destinée à la consommation humaine (SNC 2.4);Contrôle administratif nitrates ciblés par l'action 2.4 de la SNC
Eau et Nature;Gestion qualitative de la ressource en eau;Pollutions diffuses;Limiter la présence de nitrates d'origine agricole dans les milieux aquatiques afin de lutter contre l'eutrophisation des milieux et protéger la ressource en eau destinée à la consommation humaine (SNC 2.4);Autres actions sur les nitrates
Eau et Nature;Gestion qualitative de la ressource en eau;Pollutions diffuses;Assurer le respect des conditions d'emplois des produits phytopharmaceutiques afin de préserver la qualité de l'eau et des milieux aquatiques (SNC 2.5);Procédures judiciaires liées aux PPP et en lien avec l'action 2.5 de la SNC
Eau et Nature;Gestion qualitative de la ressource en eau;Pollutions diffuses;Assurer le respect des conditions d'emplois des produits phytopharmaceutiques afin de préserver la qualité de l'eau et des milieux aquatiques (SNC 2.5);Autres actions de police judiciaire liée aux PPP
Eau et Nature;Gestion qualitative de la ressource en eau;Gestion des eaux pluviales;Préserver la qualité des milieux aquatiques et la santé grâce à une gestion durable des eaux pluviales (SNC 2.3);Contrôle administratif des ouvrages de gestion pluviale ciblés par l'action 2.3 de la SNC
Eau et Nature;Gestion qualitative de la ressource en eau;Gestion des eaux pluviales;Préserver la qualité des milieux aquatiques et la santé grâce à une gestion durable des eaux pluviales (SNC 2.3);Autres actions sur les ouvrages de gestion pluviale (hors digues et barrages)
Eau et Nature;Gestion qualitative de la ressource en eau;Autres actions liées à la gestion qualitative;ICPE avec rejets aqueux (hors SNC);
Eau et Nature;Gestion qualitative de la ressource en eau;Autres actions liées à la gestion qualitative;Autres actions liées à la gestion qualitative;
Eau et Nature;Gestion quantitative de l'eau;Ouvrages et autorisations de prélèvement (SNC 3.1);Contrôles gestion quantitative sur IOTA (hors AUP) (SNC 3.1);
Eau et Nature;Gestion quantitative de l'eau;Ouvrages et autorisations de prélèvement (SNC 3.1);Contrôles bureau des prélèvements dans le cadre d'une AUP (SNC 3.1);
Eau et Nature;Gestion quantitative de l'eau;Ouvrages et autorisations de prélèvement (SNC 3.1);Contrôles sur ICPE (SNC 3.1);
