domaine_ancien	domaine_2024	
Pêche maritime		domaine
Police des espèces protégées et de leurs habitats		Sujets transversaux
Mouillages		Gestion qualitative de la ressource en eau
[2023] Police de la chasse		Gestion quantitative de l'eau
[2023] Préservation des milieux aquatiques		Assurer la protection des espèces animales et végétales
[2023] Protection des habitats et patrimoine naturel		Préservation des milieux aquatiques
[2023] Gestion quantitative de la ressource		Espaces protégés et protection des milieux et du cadre de vie
[2023] Qualité de l'eau		Sécurité publique et Prévention des inondations
[2023] Police de la pêche		
[2023] Espèces protégées		
[2024] Préservation des milieux aquatiques		
[2024] Gestion quantitative de l'eau		
Hors domaine		
Autre (PSCEM)		
Police sanitaire		
[2023] Impacts sur le milieu marin		
DPM		
AMP		
[2023] Sécurité publique et prévention des risques d'inondation		
Epaves		
Pollution		
ENI		
[2024] Assurer la protection des espèces animales et végétales		
[2024] Sujets transversaux		
Cultures marines		
[2024] Espaces protégés et protection des milieux et du cadre de vie		
IOTA		
N 2000		
