domaine_ancien;theme_ancien;type_action_ancien;domaine_2024;theme_2024;type_action_2024
AMP;Police des aires marines protégées;Réglementation N2000 sur les habitats issue d’une analyse des risques pêche (ARP);;;
AMP;Police des aires marines protégées;Réglementation spécifique AMP hors pêche (APPB, réserves, cœur de PN...);;;
Autre (PSCEM);Divers;Divagation de chiens;;;
Cultures marines;Police des activités de cultures marines;Contrôle des prescriptions réglementaires des concessions d’exploitation de cultures marines (autorisation d’occupation et conditions d’exploitation);;;
Cultures marines;Police des activités de cultures marines;Contrôle du respect des dispositions du schéma départemental des structures de cultures marines;;;
DPM;Domanialité publique dont circulation;[2023] Contravention de grande voirie sur le DPM;;;
DPM;Domanialité publique dont circulation;[2023] Contrôle de la circulation des VTM sur le DPM;;;
DPM;Domanialité publique dont circulation;[2023] Contrôle du respect des dérogations accordées aux VTM;;;
ENI;Introduction d'espèce dans le milieu naturel;Autre introduction d'espèce dans le milieu naturel (lutte contre les espèces exotiques envahissantes / espèces non indigènes);;;
Epaves;Police des épaves;Police des épaves;;;
Hors domaine;Hors thème;Activités humaines réglementées dans les espaces ordinaires (déchets dans le milieu naturel au titre du code pénal);;;
Hors domaine;Hors thème;Autres espaces protégés (RCFS, RNCFS, etc.);Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Autres aires protégées (SNC 5.1)
Hors domaine;Hors thème;Enquête accident et incident de chasse;;;
Hors domaine;Hors thème;Excès de vitesse en mer;;;
Hors domaine;Hors thème;Utilisation de produits phytopharmaceutiques par les particuliers;Gestion qualitative de la ressource en eau;Pollutions diffuses;Assurer le respect des conditions d'emplois des produits phytopharmaceutiques afin de préserver la qualité de l'eau et des milieux aquatiques (SNC 2.5)
Hors domaine;Hors thème;Zones interdites engins motorisés (ZIEM);;;
IOTA;Travaux en milieu marin (PSCEM);Autres (Travaux - PSCEM);;;
Mouillages;Police des mouillages;Mouillage sauvage;;;
Mouillages;Police des mouillages;Respect des prescriptions sur site (périmètre autorisé dans l’AOT, nombre maximal de mouillages, types de mouillage…);;;
N 2000;Activités et manifestations soumises à évaluation d’incidence Natura 2000;Contrôle de l'existence préalable d'une évaluation d'incidence et contrôle des mesures et prescriptions (manifestation);Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);N 2000 Contrôle de l'existence préalable d'une évaluation d'incidence et contrôle des mesures et prescriptions (SNC 5.1)
Police des espèces protégées et de leurs habitats;Autre (PSCEM);Autre (PSCEM);;;
Police des espèces protégées et de leurs habitats;Faune protégée ou réglementée (PSCEM);Contrôle des dérogations relatives aux atteintes directes espèces protégées (prélèvement, introduction, naturalisation...) (PSCEM);;;
Police des espèces protégées et de leurs habitats;Faune protégée ou réglementée (PSCEM);Dérangement des espèces / Perturbation intentionnelle espèce protégée (faune) *sauf cétacés;;;
Police des espèces protégées et de leurs habitats;Faune protégée ou réglementée (PSCEM);Faune - Contrôle de la détention et du commerce des espèces non domestiques réglementées (protégées, invasives, réglementées) (PSCEM);;;
Police des espèces protégées et de leurs habitats;Faune protégée ou réglementée (PSCEM);Faune - Contrôle des dérogations relatives aux atteintes aux habitats d'espèces protégées (séquence éviter, réduire, compenser) (PSCEM);;;
Police des espèces protégées et de leurs habitats;Faune protégée ou réglementée (PSCEM);Infraction à la législation sur les cétacés;;;
Police des espèces protégées et de leurs habitats;Faune protégée ou réglementée (PSCEM);Prélèvement et destruction espèce protégée – faune OU Lutte contre les atteintes directes à la faune protégée : capture, braconnage, perturbation, etc *sauf cétacés;;;
Police des espèces protégées et de leurs habitats;Flore protégée ou réglementée (PSCEM);Flore - Contrôle des dérogations relatives aux atteintes aux habitats d'espèces protégées (séquence éviter, réduire, compenser) (PSCEM);;;
Police des espèces protégées et de leurs habitats;Flore protégée ou réglementée (PSCEM);Flore - Contrôle des dérogations relatives aux atteintes directes espèces protégées (prélèvement, introduction, naturalisation...) (PSCEM);;;
Police des espèces protégées et de leurs habitats;Flore protégée ou réglementée (PSCEM);Lutte contre les atteintes directes à la flore protégée (herbiers...) : arrachage, cueillette, trafics d’espèces à enjeux...;;;
