numero_natinf;libelle_natinf;domaine_snc;theme_snc;action_snc
26512;ABANDON DE DEJECTION HORS DES EMPLACEMENTS AUTORISES;Hors domaine;Hors thème;[2025] Activités humaines réglementées dans les espaces ordinaires (déchets dans le milieu naturel au titre du code pénal)
25948;ABANDON, DEPOT, JET OU DEVERSEMENT IRREGULIER D'OBJET OU DECHET DANS UNE RESERVE NATURELLE;Hors domaine;Hors thème;[2025] Autres espaces protégés (RCFS, RNCFS, etc.)
25899;ABANDON, DEPOT, JET OU DEVERSEMENT NON AUTORISE D'OBJET OU DECHET AU COEUR D'UN PARC NATIONAL;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Parcs nationaux (SNC 5.1)
26302;ABSENCE DE MARQUAGE DE GIBIER MORT NON SOUMIS AU PLAN DE CHASSE PREALABLEMENT A SON TRANSPORT PAR ADHERENT D'UNE FEDERATION DE CHASSE;Assurer la protection des espèces animales et végétales;Chasse;Actions contrôles chasse hors priorités SNC
27742;AGRAINAGE OU AFFOURAGEMENT EN INFRACTION AUX PRESCRIPTIONS DU SCHEMA DEPARTEMENTAL DE GESTION CYNEGETIQUE;Assurer la protection des espèces animales et végétales;Chasse;Actions contrôles chasse hors priorités SNC
7930;ALLUMAGE DE FEU INTERDIT A MOINS DE 200 METRES D'UNE FORET OU D'UN BOIS;Inactif-Protection des habitats et patrimoine naturel;Inactif-Forêt;Inactif-Protection des milieux forestiers (dont lutte contre les incendies)
7927;APPORT OU USAGE INTERDIT D'APPAREIL OU MATERIEL POUVANT ETRE A L'ORIGINE D'UN DEPART DE FEU DANS UN PERIMETRE EXPOSE A UN RISQUE EXCEPTIONNEL D'INCENDIE DE FORET;Espaces protégés et protection des milieux et du cadre de vie;Contrôles espaces protégés et protection des milieux et du cadre de vie (hors SNC);Protection des milieux forestiers (dont lutte contre les incendies)
34824;APPOSITION D'UNE ENSEIGNE LUMINEUSE SANS RESPECTER L'OBLIGATION D'EXTINCTION NOCTURNE;Espaces protégés et protection des milieux et du cadre de vie;Contrôles espaces protégés et protection des milieux et du cadre de vie (hors SNC);Réglementation publicité, enseignes et préenseignes
29946;APPOSITION D'UNE PUBLICITE OU PREENSEIGNE LUMINEUSE SANS RESPECTER L'OBLIGATION D'EXTINCTION NOCTURNE;Espaces protégés et protection des milieux et du cadre de vie;Contrôles espaces protégés et protection des milieux et du cadre de vie (hors SNC);Réglementation publicité, enseignes et préenseignes
29927;APPOSITION D'UNE PUBLICITE OU PREENSEIGNE SUR DES PLANTATIONS;Espaces protégés et protection des milieux et du cadre de vie;Contrôles espaces protégés et protection des milieux et du cadre de vie (hors SNC);Réglementation publicité, enseignes et préenseignes
10222;ATTEINTE IRREGULIERE A UN ANIMAL NON DOMESTIQUE D'UNE RESERVE NATURELLE;Assurer la protection des espèces animales et végétales;Espèces protégées;Contrôles liés à la détention et commerce illégaux d'espèces protégées ou réglementées CITES (SNC 4.3)
10212;ATTEINTE IRREGULIERE AUX MINERAUX OU AUX FOSSILES D'UNE RESERVE NATURELLE;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Réglementation réserves naturelles (SNC 5.1)
10211;ATTEINTE IRREGULIERE AUX VEGETAUX NON CULTIVES D'UNE RESERVE NATURELLE;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Réglementation réserves naturelles (SNC 5.1)
25909;ATTEINTE NON AUTORISEE AUX ANIMAUX NON DOMESTIQUES AU COEUR D'UN PARC NATIONAL;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Parcs nationaux (SNC 5.1)
25912;ATTEINTE NON AUTORISEE AUX MINERAUX OU FOSSILES AU COEUR D'UN PARC NATIONAL;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Parcs nationaux (SNC 5.1)
25910;ATTEINTE NON AUTORISEE AUX VEGETAUX NON CULTIVES AU COEUR D'UN PARC NATIONAL;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Parcs nationaux (SNC 5.1)
26268;BROYAGE, FAUCHAGE DE LA JACHERE DE TERRAIN AGRICOLE MALGRE UN ARRETE DE REPORT DE DATE - PROTECTION DU GIBIER;Assurer la protection des espèces animales et végétales;Espèces protégées;Autres actions relevant de la protection des espèces animales et végétales (hors SNC et hors chasse)
6564;CAMPING, BIVOUAC OU CARAVANING NON AUTORISE AU COEUR D'UN PARC NATIONAL;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Parcs nationaux (SNC 5.1)
25971;CAMPING, BIVOUAC OU CARAVANING NON AUTORISE DANS UNE RESERVE NATURELLE;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Réglementation réserves naturelles (SNC 5.1)
26300;CAPTURE D'UN ANIMAL SANS MISE A JOUR CONFORME DU CARNET OU DE L'APPLICATION MOBILE DE PRELEVEMENT - CHASSE;Assurer la protection des espèces animales et végétales;Chasse;Contrôle du respect des quotas collectifs et des obligations de déclaration de prélèvement de certaines espèces (SNC 4.5)
26298;CAPTURE D'UN NOMBRE D'ANIMAUX SUPERIEUR AU PRELEVEMENT MAXIMAL AUTORISE;Inactif-Police de la chasse;Inactif-Police de la chasse et lutte contre le braconnage des espèces chassables;Inactif-Respect des quotas collectifs et des procédures de déclaration et de collecte liées aux prélèvements des espèces chassables soumises à quota, à PMA, à gestion adaptative (action 3.5 SNC)
33618;CAPTURE D'UN SPECIMEN D'UNE ESPECE SOUMISE A GESTION ADAPTATIVE SANS ENREGISTREMENT CONFORME DANS LE CARNET OU L'APPLICATION MOBILE DE PRELEVEMENT - CHASSE;Assurer la protection des espèces animales et végétales;Chasse;Contrôle du respect des quotas collectifs et des obligations de déclaration de prélèvement de certaines espèces (SNC 4.5)
26277;CHASSE DE GIBIER D'EAU A PARTIR DE POSTE FIXE SANS TENUE A JOUR D'UN CARNET DE PRELEVEMENT;Assurer la protection des espèces animales et végétales;Chasse;Contrôle du respect des quotas collectifs et des obligations de déclaration de prélèvement de certaines espèces (SNC 4.5)
26301;CHASSE EN INFRACTION AVEC LES MODALITES DU PLAN DE GESTION CYNEGETIQUE;Assurer la protection des espèces animales et végétales;Chasse;Actions contrôles chasse hors priorités SNC
2191;CHASSE NON AUTORISEE AVEC APPEAU, APPELANT OU CHANTERELLE;Assurer la protection des espèces animales et végétales;Chasse;Actions contrôles chasse hors priorités SNC
2002;CHASSE SANS ETRE PORTEUR DU PERMIS OU DE L'AUTORISATION DE CHASSER ACCOMPAGNE DU DOCUMENT DE VALIDATION ET DE L'ATTESTATION D'ASSURANCE;Assurer la protection des espèces animales et végétales;Chasse;Sécurité à la chasse (SNC 4.5)
