Numéro NATINF;Nature de l'infraction;Qualification de l'infraction;Définie par;Réprimée par
7;Délit;RETRAIT DE LA PROVISION D'UN CHEQUE AVEC L'INTENTION DE PORTER ATTEINTE AUX DROITS D'AUTRUI;ART.L.163-2 AL.1 C.M.F.;ART.L.163-2 AL.1, ART.L.163-6 AL.1, AL.2 C.M.F. ART.131-30 AL.1 C.PENAL.
8;Délit;OPPOSITION AU PAIEMENT D'UN CHEQUE AVEC L'INTENTION DE PORTER ATTEINTE AUX DROITS D'AUTRUI;ART.L.163-2 AL.1 C.M.F.;ART.L.163-2 AL.1, ART.L.163-6 AL.1, AL.2 C.M.F. ART.131-30 AL.1 C.PENAL.
11;Délit;ABANDON DE FAMILLE : NON PAIEMENT D'UNE PENSION OU D'UNE PRESTATION ALIMENTAIRE;ART.227-3 AL.1 C.PENAL.;ART.227-3 AL.1, ART.227-29 C.PENAL.
13;Délit;INFRACTION A UNE INTERDICTION DE SEJOUR : FREQUENTATION D'UN LIEU INTERDIT;ART.434-38 AL.1, ART.131-31 AL.1 C.PENAL.;ART.434-38 AL.1, ART.434-44 AL.4 C.PENAL.
16;Délit;AIDE A L'ENTREE, A LA CIRCULATION OU AU SEJOUR IRREGULIERS D'UN ETRANGER EN FRANCE;ART.L.823-1, ART.L.820-1 C.E.S.E.D.A.;ART.L.823-1 AL.1, ART.L.823-4, ART.L.823-6 C.E.S.E.D.A.
19;Contravention de classe 5;NON PAIEMENT D'UNE PENSION ALIMENTAIRE DUE AU CREANCIER, PAR LE TIERS DEBITEUR TENU AU PAIEMENT DIRECT;ART.R.213-5, ART.L.213-1 C.P.C.EX.;ART.R.213-5 C.P.C.EX.
23;Contravention de classe 5;VIOLENCE AYANT ENTRAINE UNE INCAPACITE DE TRAVAIL N'EXCEDANT PAS 8 JOURS;ART.R.625-1 AL.1 C.PENAL.;ART.R.625-1 AL.1,AL.2 C.PENAL.
25;Délit;BLESSURES ROUTIERES AVEC INCAPACITE N'EXCEDANT PAS 3 MOIS PAR CONDUCTEUR DE VEHICULE TERRESTRE A MOTEUR EN ETAT D'IVRESSE MANIFESTE;ART.221-20 AL.1 2° C.PENAL. ART.L.232-2 C.ROUTE.;ART.221-20 AL.1, ART.221-21, ART.131-30 AL.1 C.PENAL. ART.L.224-12 C.ROUTE.
26;Délit;BLESSURES ROUTIERES AVEC INCAPACITE SUPERIEURE A 3 MOIS PAR CONDUCTEUR DE VEHICULE TERRESTRE A MOTEUR EN ETAT D'IVRESSE MANIFESTE;ART.221-19 AL.1 2° C.PENAL. ART.L.232-2 C.ROUTE.;ART.221-19 AL.1, ART.221-21, ART.131-30 AL.1 C.PENAL. ART.L.224-12 C.ROUTE.
33;Délit;DENONCIATION CALOMNIEUSE;ART.226-10 AL.1 C.PENAL.;ART.226-10 AL.1, ART.226-31, ART.131-30 AL.1 C.PENAL.
34;Délit;BLESSURES ROUTIERES AVEC INCAPACITE SUPERIEURE A 3 MOIS PAR CONDUCTEUR D'UN VEHICULE TERRESTRE A MOTEUR ET DELIT DE FUITE;ART.221-19 AL.1 7° C.PENAL. ART.L.232-2 C.ROUTE.;ART.221-19 AL.1, ART.221-21, ART.131-30 AL.1 C.PENAL. ART.L.224-12 C.ROUTE.
35;Délit;HOMICIDE ROUTIER PAR CONDUCTEUR D'UN VEHICULE TERRESTRE A MOTEUR ET DELIT DE FUITE;ART.221-18 AL.1 7° C.PENAL. ART.L.232-1 C.ROUTE.;ART.221-18 AL.1, ART.221-21, ART.131-30 AL.1 C.PENAL. ART.L.224-12 C.ROUTE.
41;Délit;CONDUITE D'UN VEHICULE EN ETAT D'IVRESSE MANIFESTE;ART.L.234-1 §II,§V C.ROUTE.;ART.L.234-1, ART.L.234-2, ART.L.224-12 C.ROUTE. ART.131-30 AL.1 C.PENAL.
42;Délit;DELIT DE FUITE APRES UN ACCIDENT PAR CONDUCTEUR DE VEHICULE TERRESTRE;ART.434-10 AL.1 C.PENAL. ART.L.231-1 C.ROUTE.;ART.434-10 AL.1, ART.434-44 AL.4, ART.434-45, ART.131-30 AL.1 C.PENAL. ART.L.231-1, ART.L.231-2, ART.L.231-3, ART.L.224-12 C.ROUTE.
