id,label,ordre
agrainage,Bilan agrainage,1
chasse,Bilan chasse,2
piegeage,Bilan piégeage,3
types_usager,Types d'usagers,4
procedures_pve,"Procédures (PA, PEJ et PVe)",5
peche,Pêche,6
controles_aires_protegees,Contrôles aires protégées (SNC 5.1),7
controles_espaces_proteges,Contrôles espaces protégés et protection des milieux et du cadre de vie (hors SNC),8
controles_secheresse,Contrôles sécheresse (SNC 3.2),9
especes_protegees,Espèces protégées,10
pollutions_diffuses,Pollutions diffuses,11
continuite_ecologique,Continuité écologique des cours d'eau (SNC 5.2),12
travaux,Travaux,13
hors_theme,Hors thème,14
autres_gestion_qualitative,Autres actions liées à la gestion qualitative,15
pollutions_urbaines,Lutter contre les pollutions urbaines,16
faune_sauvage_captive,Faune sauvage captive,17
ouvrages_prelevement,Ouvrages et autorisations de prélèvement (SNC 3.1),18
zones_humides,Assurer la préservation des zones humides (SNC 5.4),19
faune_sauvage,Faune sauvage,20
faune_protegee_reglementee,Faune protégée ou réglementée (PSCEM),21
autorisations_environnementales,Autorisations environnementales,22
sites_inscrits_classes,Sites inscrits ou classés (SNC 5.3),23
plans_eau,Plans d'eau,24
gestion_quantitative_hors_snc,Autres contrôles gestion quantitative hors SNC,25
gestion_eaux_pluviales,Gestion des eaux pluviales,26
especes_exotiques_envahissantes,Espèces exotiques envahissantes,27
reglementation_sanitaire,Inactif-Réglementation sanitaire,28
agriculteur,Agriculteur et autres acteurs agricoles,29
particulier,Particulier (usager de la nature + gestionnaire d'une propriété),30
collectivite,Collectivité,31
entreprise,Entreprise,32
acteur_sylvicole,Acteurs sylvicoles,33
autre_usager,Autre type d’usager,34
