INSEE_COM,C,5;NOM_COM,C,50;long_centr,N,11,7;lat_centro,N,11,7;INSEE_DEP,C,3;commune_ac,N,1,0;date_mod2,C,24
79013;Argentonnay;-0,4202993;46,9701217;79;1;2018/01/01 00:00:00.000
24456;Saint-Martin-des-Combes;0,6208579;44,9646354;24;1;2018/01/01 00:00:00.000
76618;Petit-Caux;1,2547831;49,9551409;76;1;2018/01/01 00:00:00.000
16405;Vignolles;-0,0973356;45,506433;16;1;2018/01/01 00:00:00.000
76540;Rouen;1,0935756;49,4414956;76;1;2018/01/01 00:00:00.000
76613;Saint-Martin-aux-Buneaux;0,5500416;49,8271508;76;1;2018/01/01 00:00:00.000
76476;Port-Jérôme-sur-Seine;0,586781;49,5021284;76;1;2018/01/01 00:00:00.000
76404;Manéglise;0,256799;49,5663992;76;1;2018/01/01 00:00:00.000
76034;Val-de-Scie;1,1418197;49,714568;76;1;2020/05/01 00:00:00.000
74282;Fillière;6,2492622;45,9957822;74;1;2018/01/01 00:00:00.000
76351;Le Havre;0,1409666;49,4983202;76;1;2018/01/01 00:00:00.000
76217;Dieppe;1,0871696;49,9218331;76;1;2018/01/01 00:00:00.000
67499;Urbeis;7,201718;48,3328397;67;1;2018/01/01 00:00:00.000
48188;Serverette;3,3913783;44,7000896;48;1;2018/01/01 00:00:00.000
57303;Hauconcourt;6,1843412;49,2116015;57;1;2018/01/01 00:00:00.000
64039;Aren;-0,7248583;43,247993;64;1;2018/01/01 00:00:00.000
73290;Val-Cenis;6,8695256;45,2770052;73;1;2018/01/01 00:00:00.000
21105;Bressey-sur-Tille;5,1840461;47,3085795;21;1;2018/01/01 00:00:00.000
48124;Recoules-de-Fumas;3,3330755;44,6322249;48;1;2018/01/01 00:00:00.000
22242;Plurien;-2,4001847;48,6097746;22;1;2018/01/01 00:00:00.000
22076;Hénanbihen;-2,3815564;48,5579839;22;1;2018/01/01 00:00:00.000
57134;Châtel-Saint-Germain;6,064914;49,1319027;57;1;2018/01/01 00:00:00.000
22326;Saint-Rieul;-2,4204667;48,4427554;22;1;2018/01/01 00:00:00.000
34079;Clermont-l'Hérault;3,412912;43,6341768;34;1;2018/01/01 00:00:00.000
48194;Vialas;3,8906221;44,342671;48;1;2018/01/01 00:00:00.000
27530;Saint-Denis-d'Augerons;0,4714202;48,91551;27;1;2018/01/01 00:00:00.000
57624;Sainte-Ruffine;6,0963532;49,1065127;57;1;2018/01/01 00:00:00.000
67143;Fouchy;7,2467078;48,3166302;67;1;2018/01/01 00:00:00.000
57601;Rozérieulles;6,0524661;49,1186256;57;1;2018/01/01 00:00:00.000
57487;Moulins-lès-Metz;6,1181948;49,0925082;57;1;2018/01/01 00:00:00.000
48112;Pierrefiche;3,7320432;44,6853331;48;1;2018/01/01 00:00:00.000
48168;Saint-Léger-de-Peyre;3,3069621;44,6044176;48;1;2018/01/01 00:00:00.000
27556;Saint-Laurent-du-Tencement;0,4609141;48,8918409;27;1;2018/01/01 00:00:00.000
48041;Chastanier;3,7531563;44,7229625;48;1;2018/01/01 00:00:00.000
64244;Geüs-d'Oloron;-0,7306925;43,2382081;64;1;2018/01/01 00:00:00.000
48116;Pont de Montvert - Sud Mont Lozère;3,7650832;44,3710338;48;1;2018/01/01 00:00:00.000
34076;Ceyras;3,4611663;43,649664;34;1;2018/01/01 00:00:00.000
22286;Saint-Denoual;-2,3836793;48,5187559;22;1;2018/01/01 00:00:00.000
21370;Magny-sur-Tille;5,1723552;47,274365;21;1;2018/01/01 00:00:00.000
57663;Talange;6,1718683;49,2345824;57;1;2018/01/01 00:00:00.000
48083;Les Laubies;3,4418097;44,7021709;48;1;2018/01/01 00:00:00.000
21320;Izier;5,1960896;47,280992;21;1;2018/01/01 00:00:00.000
22193;Plestan;-2,4413359;48,4146924;22;1;2018/01/01 00:00:00.000
51550;Sompuis;4,3763388;48,6857208;51;1;2018/01/01 00:00:00.000
40065;Capbreton;-1,4284659;43,6323514;40;1;2018/01/01 00:00:00.000
40304;Soorts-Hossegor;-1,412384;43,6679078;40;1;2018/01/01 00:00:00.000
48178;Saint-Privat-de-Vallongue;3,8238872;44,2856877;48;1;2018/01/01 00:00:00.000
48136;Saint-André-de-Lancize;3,7820176;44,2742648;48;1;2018/01/01 00:00:00.000
48082;Laubert;3,6448436;44,5973191;48;1;2018/01/01 00:00:00.000
48043;Châteauneuf-de-Randon;3,6856579;44,6482178;48;1;2018/01/01 00:00:00.000
48100;Montbel;3,7122674;44,5965204;48;1;2018/01/01 00:00:00.000
76108;Bois-Guillaume;1,1179475;49,474334;76;1;2018/01/01 00:00:00.000
08090;Carignan;5,1715905;49,6385593;08;1;2018/01/01 00:00:00.000
73090;La Compôte;6,1480128;45,6593466;73;1;2018/01/01 00:00:00.000
